IMPORT_OK
import time: self [us] | cumulative | imported package
import time:       132 |        132 |   _io
import time:        15 |         15 |   marshal
import time:       108 |        108 |   posix
import time:       143 |        396 | _frozen_importlib_external
import time:       202 |        202 |   time
import time:        54 |        256 | zipimport
import time:        66 |         66 |     _codecs
import time:       112 |        178 |   codecs
import time:       452 |        452 |   encodings.aliases
import time:       535 |       1164 | encodings
import time:       275 |        275 | encodings.utf_8
import time:        48 |         48 | _signal
import time:        12 |         12 |     _abc
import time:        55 |         67 |   abc
import time:        77 |        144 | io
import time:        25 |         25 |       _stat
import time:        24 |         48 |     stat
import time:       364 |        364 |     _collections_abc
import time:        26 |         26 |       genericpath
import time:        38 |         63 |     posixpath
import time:       176 |        651 |   os
import time:        28 |         28 |   _sitebuiltins
import time:       254 |        254 |   encodings.utf_8_sig
import time:      1311 |       1311 |   _virtualenv
import time:        32 |         32 |   sitecustomize
import time:      1395 |       3667 | site
import time:       569 |        569 |     markitdown_mcp.__about__
import time:       720 |       1288 |   markitdown_mcp
import time:       113 |        113 |       itertools
import time:       273 |        273 |       keyword
import time:        41 |         41 |         _operator
import time:       338 |        379 |       operator
import time:       275 |        275 |       reprlib
import time:        33 |         33 |       _collections
import time:       700 |       1771 |     collections
import time:       321 |        321 |       types
import time:        28 |         28 |       _functools
import time:       515 |        863 |     functools
import time:       519 |       3152 |   contextlib
import time:       276 |        276 |   collections.abc
import time:       251 |        251 |           mcp.client
import time:        64 |         64 |             _datetime
import time:       273 |        337 |           datetime
import time:       261 |        261 |             copyreg
import time:      1014 |       1014 |               enum
import time:        34 |         34 |                 _sre
import time:       305 |        305 |                   re._constants
import time:       383 |        688 |                 re._parser
import time:       197 |        197 |                 re._casefix
import time:       436 |       1354 |               re._compiler
import time:       459 |       2826 |             re
import time:       327 |        327 |             warnings
import time:        22 |         22 |             _typing
import time:      1893 |       5326 |           typing
import time:       260 |        260 |               __future__
import time:       548 |        548 |                 anyio._core
import time:       109 |        109 |                     _ast
import time:       929 |       1038 |                   ast
import time:        16 |         16 |                       _opcode
import time:       390 |        405 |                     opcode
import time:       556 |        961 |                   dis
import time:       322 |        322 |                     importlib
import time:        33 |        354 |                   importlib.machinery
import time:       260 |        260 |                       token
import time:        24 |         24 |                       _tokenize
import time:       682 |        964 |                     tokenize
import time:       263 |       1227 |                   linecache
import time:       338 |        338 |                     _weakrefset
import time:       526 |        864 |                   weakref
import time:      1359 |       5800 |                 inspect
import time:       934 |       7281 |               anyio._core._contextmanagers
import time:        45 |         45 |                 math
import time:       557 |        557 |                 threading
import time:        19 |         19 |                   _contextvars
import time:       279 |        297 |                 contextvars
import time:       612 |        612 |                   textwrap
import time:       635 |       1247 |                 anyio._core._exceptions
import time:        53 |         53 |                 sniffio
import time:      1117 |       3314 |               anyio._core._eventloop
import time:       125 |        125 |                   fnmatch
import time:        43 |         43 |                     _winapi
import time:        36 |         36 |                     nt
import time:        34 |         34 |                     nt
import time:        32 |         32 |                     nt
import time:        30 |         30 |                     nt
import time:        31 |         31 |                     nt
import time:        30 |         30 |                     nt
import time:        48 |        282 |                   ntpath
import time:        26 |         26 |                   errno
import time:       262 |        262 |                     urllib
import time:      1005 |       1005 |                     ipaddress
import time:       790 |       2056 |                   urllib.parse
import time:       745 |       3232 |                 pathlib
import time:       314 |        314 |                   copy
import time:       627 |        940 |                 dataclasses
import time:       636 |        636 |                 anyio.to_thread
import time:       388 |        388 |                     signal
import time:        95 |         95 |                       _socket
import time:        37 |         37 |                         select
import time:       473 |        510 |                       selectors
import time:       608 |        608 |                       array
import time:       763 |       1974 |                     socket
import time:      1341 |       3702 |                   anyio.abc._eventloop
import time:       354 |        354 |                   anyio.abc._resources
import time:       521 |        521 |                     anyio._core._typedattr
import time:     13473 |      13473 |                         typing_extensions
import time:       823 |      14295 |                       anyio.abc._tasks
import time:       969 |      15264 |                     anyio.abc._streams
import time:      1244 |      17028 |                   anyio.abc._sockets
import time:       628 |        628 |                   anyio.abc._subprocesses
import time:       411 |        411 |                   anyio.abc._testing
import time:      1311 |       1311 |                     anyio.lowlevel
import time:      1408 |       1408 |                     anyio._core._tasks
import time:       638 |        638 |                     anyio._core._testing
import time:      3456 |       6810 |                   anyio._core._synchronization
import time:       345 |        345 |                       concurrent
import time:       645 |        645 |                           traceback
import time:        22 |         22 |                             _string
import time:       559 |        581 |                           string
import time:        22 |         22 |                           atexit
import time:      1211 |       2458 |                         logging
import time:       800 |       3258 |                       concurrent.futures._base
import time:       313 |       3915 |                     concurrent.futures
import time:      2288 |       6202 |                   anyio.from_thread
import time:       589 |      35721 |                 anyio.abc
import time:      3752 |      44279 |               anyio._core._fileio
import time:       419 |        419 |               anyio._core._resources
import time:       296 |        296 |               anyio._core._signals
import time:       352 |        352 |                   _ssl
import time:        37 |         37 |                       _struct
import time:       226 |        262 |                     struct
import time:        32 |         32 |                     binascii
import time:       486 |        778 |                   base64
import time:      2111 |       3241 |                 ssl
import time:       177 |        177 |                   anyio.streams
import time:      1447 |       1623 |                 anyio.streams.stapled
import time:      1933 |       1933 |                 anyio.streams.tls
import time:      2838 |       9633 |               anyio._core._sockets
import time:      2064 |       2064 |                 anyio.streams.memory
import time:       438 |       2502 |               anyio._core._streams
import time:        51 |         51 |                     _locale
import time:       792 |        843 |                   locale
import time:        23 |         23 |                   fcntl
import time:        65 |         65 |                   msvcrt
import time:        12 |         12 |                   _posixsubprocess
import time:       886 |       1826 |                 subprocess
import time:       841 |       2667 |               anyio._core._subprocesses
import time:        40 |         40 |                     zlib
import time:       259 |        259 |                       _compression
import time:        20 |         20 |                       _bz2
import time:       306 |        583 |                     bz2
import time:        28 |         28 |                       _lzma
import time:       214 |        242 |                     lzma
import time:       531 |       1395 |                   shutil
import time:        91 |         91 |                       _bisect
import time:       217 |        308 |                     bisect
import time:        13 |         13 |                     _random
import time:        18 |         18 |                     _sha2
import time:       386 |        723 |                   random
import time:       467 |       2584 |                 tempfile
import time:      1949 |       4533 |               anyio._core._tempfile
import time:      1055 |      76234 |             anyio
import time:        12 |      76245 |           anyio.lowlevel
import time:      6730 |       6730 |                     pydantic_core._pydantic_core
import time:       363 |        363 |                           numbers
import time:       292 |        655 |                         _decimal
import time:       448 |       1102 |                       decimal
import time:     10957 |      12059 |                     pydantic_core.core_schema
import time:      1190 |      19978 |                   pydantic_core
import time:       521 |      20498 |                 pydantic.version
import time:       933 |      21430 |               pydantic.warnings
import time:      1015 |      22445 |             pydantic._migration
import time:       127 |        127 |                 typing_inspection
import time:      1750 |       1750 |                 typing_inspection.typing_objects
import time:      2399 |       4274 |               typing_inspection.introspection
import time:       130 |        130 |               pydantic._internal
import time:       845 |        845 |                   pydantic._internal._namespace_utils
import time:      1857 |       2701 |                 pydantic._internal._typing_extra
import time:      1184 |       3885 |               pydantic._internal._repr
import time:      1082 |       9369 |             pydantic.errors
import time:      1757 |      33570 |           pydantic
import time:        42 |         42 |               _csv
import time:       348 |        390 |             csv
import time:       195 |        195 |             email
import time:       245 |        245 |                 importlib._abc
import time:        63 |        307 |               importlib.util
import time:       137 |        137 |                 zipfile._path.glob
import time:       430 |        566 |               zipfile._path
import time:       665 |       1537 |             zipfile
import time:       268 |        268 |                 quopri
import time:       667 |        667 |                     calendar
import time:       233 |        900 |                   email._parseaddr
import time:       105 |        105 |                     email.base64mime
import time:       281 |        281 |                     email.quoprimime
import time:       377 |        377 |                     email.errors
import time:       116 |        116 |                     email.encoders
import time:       390 |       1268 |                   email.charset
import time:       412 |       2579 |                 email.utils
import time:       445 |        445 |                   email.header
import time:       328 |        772 |                 email._policybase
import time:       296 |        296 |                 email._encoded_words
import time:       163 |        163 |                 email.iterators
import time:       471 |       4547 |               email.message
import time:        85 |         85 |                 importlib.metadata._functools
import time:       117 |        201 |               importlib.metadata._text
import time:       200 |       4946 |             importlib.metadata._adapters
import time:       227 |        227 |             importlib.metadata._meta
import time:       168 |        168 |             importlib.metadata._collections
import time:        89 |         89 |             importlib.metadata._itertools
import time:       194 |        194 |                   importlib.resources.abc
import time:       221 |        221 |                   importlib.resources._adapters
import time:       245 |        659 |                 importlib.resources._common
import time:       246 |        246 |                 importlib.resources._legacy
import time:        96 |       1000 |               importlib.resources
import time:       353 |       1352 |             importlib.abc
import time:       912 |       9813 |           importlib.metadata
import time:       558 |        558 |             pydantic.annotated_handlers
import time:      1046 |       1603 |           pydantic._internal._schema_generation_shared
import time:       391 |        391 |                 pydantic._internal._internal_dataclass
import time:      1060 |       1450 |               pydantic.aliases
import time:      1243 |       1243 |               pydantic.config
import time:      1664 |       4356 |             pydantic._internal._config
import time:       488 |        488 |             pydantic._internal._core_metadata
import time:       841 |        841 |             pydantic._internal._core_utils
import time:       478 |        478 |                 pydantic._internal._import_utils
import time:      2250 |       2727 |               pydantic._internal._utils
import time:      4023 |       6750 |             pydantic._internal._decorators
import time:      1020 |       1020 |                 pydantic.plugin
import time:       859 |       1879 |               pydantic.plugin._schema_validator
import time:       925 |       2803 |             pydantic._internal._mock_val_ser
import time:      8706 |      23942 |           pydantic.json_schema
import time:       463 |        463 |                   pydantic._internal._forward_ref
import time:      1695 |       2158 |                 pydantic._internal._generics
import time:       696 |        696 |                 pydantic._internal._docs_extraction
import time:      2545 |       5397 |               pydantic._internal._fields
import time:      1000 |       1000 |                   fractions
import time:        27 |         27 |                     _uuid
import time:       491 |        517 |                   uuid
import time:       432 |        432 |                       sysconfig
import time:       525 |        525 |                       _sysconfigdata__darwin_darwin
import time:       249 |        249 |                       _osx_support
import time:       577 |       1782 |                     zoneinfo._tzpath
import time:       214 |        214 |                     zoneinfo._common
import time:        40 |         40 |                     _zoneinfo
import time:       280 |       2314 |                   zoneinfo
import time:      2911 |       2911 |                   pydantic.functional_validators
import time:      1530 |       1530 |                   pydantic._internal._discriminated_union
import time:      1349 |       1349 |                   pydantic._internal._known_annotated_metadata
import time:      1024 |       1024 |                   pydantic._internal._schema_gather
import time:      9800 |      20441 |                 pydantic._internal._generate_schema
import time:       673 |        673 |                 pydantic._internal._signature
import time:      2700 |      23812 |               pydantic._internal._model_construction
import time:      5025 |      34234 |             pydantic.main
import time:      2029 |      36263 |           pydantic.type_adapter
import time:      3957 |       3957 |             annotated_types
import time:      1847 |       1847 |             pydantic._internal._validators
import time:      7583 |       7583 |             pydantic.types
import time:       413 |        413 |             pydantic.plugin._loader
import time:     39995 |      53793 |           mcp.types
import time:       162 |        162 |             mcp.shared
import time:       592 |        592 |                 httpx.__version__
import time:       413 |        413 |                         _hashlib
import time:        25 |         25 |                         _blake2
import time:       355 |        792 |                       hashlib
import time:       493 |        493 |                           http
import time:       427 |        427 |                             email.feedparser
import time:       359 |        786 |                           email.parser
import time:       675 |       1952 |                         http.client
import time:       233 |        233 |                           urllib.response
import time:       306 |        539 |                         urllib.error
import time:        23 |         23 |                         _scproxy
import time:       965 |       3477 |                       urllib.request
import time:      1056 |       1056 |                       httpx._exceptions
import time:        28 |         28 |                               _json
import time:       427 |        454 |                             json.scanner
import time:       458 |        912 |                           json.decoder
import time:       238 |        238 |                           json.encoder
